-31.8958,115.7643,17605
-32.2768,115.7298,15312
-20.3121,118.6106,15298
-31.9522,115.8614,2309338
-20.7252,139.4973,18317
-35.0667,138.8667,21554
-35.1333,138.5167,24002
-32.5269,115.7217,90306
-32.2301,115.7813,30433
-30.7461,121.4742,29072
-32.0810,116.0054,21149
-28.7790,114.6146,38595
-34.6025,138.7490,20006
-12.4611,130.8418,139902
-32.2210,116.0090,18878
-33.6525,115.3455,21898
-33.3271,115.6414,76452
-33.2792,115.7150,15988
-23.6975,133.8836,25186
-35.0269,117.8837,35053
-34.9287,138.5986,1469163
-37.8167,144.9000,15636
-37.5833,145.0333,24407
-36.1218,146.8881,38949
-37.9000,145.1833,20652
-33.8038,150.9877,17835
-37.9000,144.6667,50027
-28.2190,152.0344,15380
-38.3818,142.4880,32894
-38.1591,145.9312,19856
-37.8833,145.2167,20754
-36.3585,146.3206,29808
-37.4162,144.9786,15004
-33.7182,151.1156,17652
-27.8768,153.2857,24956
-35.4165,149.0695,89461
-37.8167,144.7500,36305
-38.1953,146.5415,26907
-19.2664,146.8057,201313
-38.3308,144.3264,18534
-27.5606,151.9539,142163
-37.7582,145.0058,19005
-37.6833,145.0167,20234
-37.7540,145.1486,16966
-37.8363,144.6595,56370
-31.9110,152.4539,16359
-31.0905,150.9290,43874
-33.8678,151.2073,5557233
-33.8837,151.2128,15828
-28.0027,153.4300,31073
-37.5774,144.7261,38851
-33.8810,151.0799,25769
-37.9485,145.1527,22174
-37.8383,144.9915,25237
-27.9672,153.3980,32965
-36.3805,145.3987,32067
-33.7833,150.9333,19196
-38.1000,145.1333,17215
-37.8676,144.9810,19490
-33.7298,151.1598,18384
-37.7333,144.8000,35091
-33.8188,151.1062,26385
-37.9333,145.2333,33571
-23.3803,150.5060,81021
-33.9500,151.1333,15436
-37.8167,145.2333,19144
-37.8182,145.0018,28587
-37.7167,145.0000,51096
-33.7333,150.8833,26904
-37.7500,145.0167,33790
-37.8396,144.9423,17633
-31.4308,152.9089,51965
-37.9148,144.7509,66781
-37.7333,144.9333,18171
-28.1169,153.4658,15205
-38.0702,145.4741,54118
-33.2840,149.1002,41920
-38.0592,145.4095,18503
-37.7980,144.9451,15395
-37.7667,145.0000,25276
-37.9667,145.1667,30921
-32.9295,151.7801,508437
-27.9894,153.3363,16739
-38.0333,145.3000,27689
-27.2034,152.9592,20910
-32.2612,150.8901,16000
-37.9284,145.1771,19889
-37.8771,145.1294,35340
-38.2667,145.0167,19846
-37.8318,140.7792,25591
-38.1833,145.0833,18734
-33.7667,150.8167,16682
-33.8390,151.2396,27844
-38.2179,145.0388,25759
-27.1088,152.9491,21221
-37.6500,145.1000,24989
-37.7825,145.3168,23059
-37.7667,144.9167,16224
-37.8167,145.2000,16795
-34.0386,151.1001,15111
-37.6667,145.0667,28712
-34.1855,142.1625,34565
-33.8333,150.9833,29508
-37.6007,145.0956,23369
-37.8140,144.9633,5350705
-33.9260,151.1935,15985
-25.5407,152.7049,27489
-33.9074,151.1555,26140
-33.9500,151.2333,30224
-33.7980,151.2883,16170
-32.7331,151.5574,89597
-21.1534,149.1655,121691
-33.9194,150.9259,27545
-37.7500,145.3500,17348
-33.8644,151.0397,19791
-41.4388,147.1347,90953
-38.0239,144.4062,15919
-38.1667,145.1667,22146
-37.6667,145.0167,23219
-33.9197,151.0759,16921
-33.9681,151.1356,16416
-37.9912,145.1738,30018
-37.8064,145.0309,24499
-33.9202,151.2224,15021
-36.7113,142.1998,16985
-33.7024,151.0993,22462
-42.8794,147.3294,252639
-37.8329,145.0367,21177
-37.8199,145.0358,22322
-38.0333,145.2500,26082
-26.1898,152.6650,22424
-34.2885,146.0509,20569
-37.6333,144.8667,21274
-37.7046,145.1030,21070
-33.8406,151.0075,16716
-29.6810,152.9339,19255
-34.7516,149.7209,24565
-28.0003,153.4309,640778
-37.8781,145.1648,42642
-37.7000,144.9333,23792
-37.8667,145.0667,26131
-37.8333,145.0500,21177
-23.8485,151.2577,45185
-38.1471,144.3607,282809
-38.1333,145.1333,34457
-38.1446,145.1229,37331
-37.8000,144.9000,17131
-33.8667,150.9500,17932
-37.7498,144.9109,21240
-37.6500,145.0333,33489
-33.7727,151.0818,23435
-34.0656,151.0127,17141
-37.7333,145.1500,18847
-27.5833,153.1000,15364
-36.1406,144.7518,15056
-33.7918,151.0806,17792
-33.9209,151.1251,17592
-32.2430,148.6048,43516
-37.6000,145.1500,27122
-37.7876,145.1489,30926
-37.7883,145.1237,25020
-41.1769,146.3515,26150
-37.7672,144.7666,18145
-27.1935,153.0263,19539
-37.9833,145.2000,30127
-37.8000,145.2833,26502
-34.0625,151.1496,17703
-38.1134,145.2833,21281
-37.6000,144.9500,65178
-38.0833,144.3833,15215
-27.4932,153.0583,15965
-33.9205,151.2552,15333
-30.2963,153.1135,78759
-37.7500,144.9667,26574
-37.9167,145.1167,18988
-34.4240,150.8935,280153
-33.8000,151.1833,25140
